fecha,temperatura
20170123T0900,-1.6694714
20170123T1000,-1.1694714
20170123T1100,-0.7894713
20170123T1200,-0.07947134
20170123T1300,-0.019471344
20170123T1400,0.72052866
20170123T1500,1.0805286
20170123T1600,0.80052865
20170123T1700,-0.13947135
20170123T1800,-1.1394713
20170123T1900,-1.7294713
20170123T2000,-2.1894715
20170123T2100,-2.7094715
20170123T2200,-2.7894714
20170123T2300,-2.6194715
20170124T0000,-2.3194714
20170124T0100,-2.5794713
20170124T0200,-2.6194715
20170124T0300,-2.5794713
20170124T0400,-2.8094714
20170124T0500,-3.0494714
20170124T0600,-3.4394715
20170124T0700,-3.6694715
20170124T0800,-3.4894714
20170124T0900,-2.3394713
20170124T1000,-1.0694714
20170124T1100,-0.50947136
20170124T1200,-0.009471342
20170124T1300,-1.8294713
20170124T1400,-1.4194714
20170124T1500,-1.2194713
20170124T1600,-1.1094713
20170124T1700,-1.7894714
20170124T1800,-2.4894714
20170124T1900,-2.7994714
20170124T2000,-2.6494715
20170124T2100,-2.4594715
20170124T2200,-2.2794714
20170124T2300,-2.4394715
20170125T0000,-2.7894714
20170125T0100,-3.1594715
20170125T0200,-3.7894714
20170125T0300,-4.2594714
20170125T0400,-4.3894715
20170125T0500,-4.5094714
20170125T0600,-4.8494716
20170125T0700,-5.1294713
20170125T0800,-5.3594713
20170125T0900,-5.0094714
20170125T1000,-4.1094713
20170125T1100,-2.9194715
20170125T1200,-1.3294713
20170125T1300,-1.9094714
20170125T1400,-0.9794713
20170125T1500,-0.23947135
20170125T1600,0.18052867
20170125T1700,-0.039471343
20170125T1800,-2.0894713
20170125T1900,-2.7194715
20170125T2000,-2.7194715
20170125T2100,-3.0294714
20170125T2200,-2.7994714
20170125T2300,-2.9994714
20170126T0000,-2.9794714
20170126T0100,-3.0694714
20170126T0200,-3.0794713
20170126T0300,-2.9594715
20170126T0400,-3.2394714
20170126T0500,-3.8094714
20170126T0600,-3.8994715
20170126T0700,-3.8394713
20170126T0800,-3.8994715
20170126T0900,-3.2294714
20170126T1000,-1.7094713
20170126T1100,-0.36947134
20170126T1200,1.1305287
20170126T1300,1.3805287
20170126T1400,2.1505284
20170126T1500,2.4205287
20170126T1600,2.1405284
